,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
96,1_2025-12-17_2025-10-03,UA,IAH,LAX,2025-12-17 14:30:00,2025-12-17 16:15:00,107.64,['1945'],2025-12-17,2025-10-03
97,1_2025-12-17_2025-10-04,UA,IAH,LAX,2025-12-17 05:42:00,2025-12-17 07:30:00,77.56,['2431'],2025-12-17,2025-10-04
98,1_2025-12-17_2025-10-05,AS,IAH,LAX,2025-12-17 17:54:00,2025-12-17 23:59:00,92.29,"['1421', '1291']",2025-12-17,2025-10-05
99,1_2025-12-18_2025-10-03,F9,IAH,LAX,2025-12-18 10:56:00,2025-12-18 12:48:00,161.39,['1755'],2025-12-18,2025-10-03
100,1_2025-12-18_2025-10-04,F9,IAH,LAX,2025-12-18 10:56:00,2025-12-18 12:48:00,161.41,['1755'],2025-12-18,2025-10-04
101,1_2025-12-18_2025-10-05,F9,IAH,LAX,2025-12-18 10:56:00,2025-12-18 12:48:00,160.34,['1755'],2025-12-18,2025-10-05
102,1_2025-12-19_2025-10-03,F9,IAH,ONT,2025-12-19 14:40:00,2025-12-19 16:11:00,154.94,['3131'],2025-12-19,2025-10-03
103,1_2025-12-19_2025-10-04,F9,IAH,ONT,2025-12-19 14:40:00,2025-12-19 16:11:00,154.96,['3131'],2025-12-19,2025-10-04
104,1_2025-12-19_2025-10-05,F9,IAH,ONT,2025-12-19 14:40:00,2025-12-19 16:11:00,156.04,['3131'],2025-12-19,2025-10-05
105,1_2025-12-20_2025-10-03,AS,IAH,LAX,2025-12-20 17:54:00,2025-12-20 23:59:00,152.46,"['1421', '1291']",2025-12-20,2025-10-03
106,1_2025-12-20_2025-10-04,AS,IAH,LAX,2025-12-20 17:54:00,2025-12-20 23:59:00,153.57,"['1421', '1291']",2025-12-20,2025-10-04
107,1_2025-12-20_2025-10-05,AS,IAH,LAX,2025-12-20 17:54:00,2025-12-20 23:59:00,153.57,"['1421', '1291']",2025-12-20,2025-10-05
